devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-03T22:58:53.212,47000.0,0089PS06CT12017-07-03T22:58:51349,2263.0,2017-07-03T22:58:51.172,25.51,inch,235.0,ms,76.37,inch,FC300008,24.2,inch,17.4,6.6,-33.0,degree/10,27791.0,inch3/10,0.0,inch3/10,2759.0,mm/sec,539.37,ft/min,29.4,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:53.983,49056.0,0089PS06CT12017-07-03T22:58:51350,2264.0,2017-07-03T22:58:51.940,13.93,inch,129.0,ms,69.13,inch,FC300008,13.8,inch,10.2,9.8,6.0,degree/10,13794.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,539.37,ft/min,20.9,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:57.862,59406.0,0089PS06CT12017-07-03T22:58:55351,2265.0,2017-07-03T22:58:55.821,21.22,inch,196.0,ms,397.24,inch,FC300008,20.6,inch,15.6,6.8,-1.0,degree/10,21852.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,539.37,ft/min,41.9,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:00.098,65376.0,0089PS06CT12017-07-03T22:58:58352,2266.0,2017-07-03T22:58:58.059,29.05,inch,270.0,ms,212.24,inch,FC300008,28.2,inch,11.6,6.4,-17.0,degree/10,20936.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,539.37,ft/min,29.1,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:01.166,2690.0,0089PS06CT12017-07-03T22:58:59353,2267.0,2017-07-03T22:58:59.128,28.5,inch,264.0,ms,86.73,inch,FC300008,28.2,inch,11.4,6.2,-18.0,degree/10,19932.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,539.37,ft/min,29.1,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:01.841,4490.0,0089PS06CT12017-07-03T22:58:59354,2268.0,2017-07-03T22:58:59.800,25.47,inch,235.0,ms,47.28,inch,FC300008,24.2,inch,17.4,6.6,-20.0,degree/10,27791.0,inch3/10,0.0,inch3/10,2789.0,mm/sec,539.37,ft/min,18.4,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:03.975,10174.0,0089PS06CT12017-07-03T22:59:01355,2269.0,2017-07-03T22:59:01.921,37.59,inch,350.0,ms,191.02,inch,FC300008,36.4,inch,18.6,6.6,-19.0,degree/10,44685.0,inch3/10,0.0,inch3/10,2775.0,mm/sec,539.37,ft/min,9.1,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:05.271,13640.0,0089PS06CT12017-07-03T22:59:03356,2270.0,2017-07-03T22:59:03.222,24.84,inch,231.0,ms,115.19,inch,FC300008,24.2,inch,17.4,11.6,-21.0,degree/10,48845.0,inch3/10,0.0,inch3/10,2778.0,mm/sec,539.37,ft/min,21.9,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:59:06.216,16160.0,0089PS06CT12017-07-03T22:59:04357,2271.0,2017-07-03T22:59:04.170,15.78,inch,144.0,ms,86.65,inch,FC300008,16.0,inch,14.2,14.0,-12.0,degree/10,31808.0,inch3/10,0.0,inch3/10,2783.0,mm/sec,539.37,ft/min,42.3,LB,0,1,0,1,1,0,0,0,0,0,0
0089PS06CT1,32.0,2017-07-03T22:59:08.396,21980.0,0089PS06CT12017-07-03T22:59:06358,2272.0,2017-07-03T22:59:06.355,25.51,inch,236.0,ms,210.39,inch,FC300008,24.0,inch,17.4,6.8,-22.0,degree/10,28397.0,inch3/10,0.0,inch3/10,2789.0,mm/sec,539.37,ft/min,29.5,LB,0,1,1,0,0,0,0,1,1,0,0
